INFO  - 2024-01-29 17:57:31.988; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/mattresses/pr?sid=wwe,rg9&otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.031; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/beds/pr?sid=wwe,7p7&otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.089; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/account/rewards?link=home_rewards
INFO  - 2024-01-29 17:57:32.167; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/dining-tables-sets/pr?sid=wwe,ur9&otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.253; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-512-gb/p/itmdbe5ac49590db?otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.382; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/4g-mobile-phones-store?otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.827; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/iqoo-5g-phones?otracker=undefined_footer
INFO  - 2024-01-29 17:57:33.801; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/#
INFO  - 2024-01-29 17:57:33.918; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/woodland-shoes?otracker=undefined_footer
INFO  - 2024-01-29 17:57:34.034; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/dabur-chyawanprash?otracker=undefined_footer
INFO  - 2024-01-29 17:57:37.264; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :http://stories.flipkart.com/
INFO  - 2024-01-29 17:57:37.925; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/womens-ethnic-sets/kurta-and-palazzo-set~type/pr?sid=clo%2Ccfv%2Citg%2Ctys&otracker=undefined_footer
INFO  - 2024-01-29 17:57:41.333; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/pages/payments
INFO  - 2024-01-29 17:57:43.130; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/mobile-speaker-cleaner?otracker=undefined_footer
INFO  - 2024-01-29 17:57:50.015; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/mens-track-pants/pr?sid=clo%2Cvua%2Cjlk%2C6ql&otracker=undefined_footer
INFO  - 2024-01-29 17:57:56.138; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itm7d1b1a9d3579b?otracker=undefined_footer
INFO  - 2024-01-29 17:58:09.066; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/blouse-back-design?otracker=undefined_footer
